Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2025-10-13 11:31:52,2,08 PJ Maddi Lang,0,0,0,0,0.49931416,0.35804978
2025-10-13 11:34:14,3,82 Claire Schmitt,0,0,0,0,0.36488336,0.5606907
2025-10-13 11:35:46,4,29 Jade Hostein,1,0,0,0,0.24691358,0.83951247
2025-10-13 11:41:20,5,09 Moose Lucy Petersen,0,0,0,0,0.41563785,0.5083799
2025-10-13 11:43:57,6,13 Grace Feehan,1,0,0,0,0.35390946,0.82275265
2025-10-13 11:48:06,8,26 Rhea Joshi,0,0,0,0,0.7366255,0.46419504
2025-10-13 11:51:35,9,72 JJ Jarik,0,0,0,0,0.441701,0.27526665
2025-10-13 11:53:06,10,27 Connie Chan,0,0,0,0,0.27023315,0.56729305
2025-10-13 11:55:19,11,82 Claire Schmitt,0,0,0,0,0.3319616,0.2701879
2025-10-13 11:58:31,12,07 Annie Phan,0,0,0,0,0.37860084,0.5134586
2025-10-13 12:03:23,14,06 Kylie Chesner,0,0,0,0,0.56378603,0.551549
2025-10-13 12:05:18,15,27 Connie Chan,0,0,0,0,0.19753087,0.51955307
